order_id,order_ts,table_id,server_name,menu_category,item_name,quantity,unit_price,total,payment_type
ORD-000008,2025-05-01 11:46:00,15,Robin,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000008,2025-05-01 11:46:00,15,Robin,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000009,2025-05-01 12:07:00,7,Casey,Main,Burger,1,14.0,14.0,Cash
ORD-000009,2025-05-01 12:07:00,7,Casey,Drink,Coffee,1,4.0,4.0,Cash
ORD-000010,2025-05-01 11:05:00,9,Casey,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000011,2025-05-01 19:01:00,16,Pat,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000011,2025-05-01 19:01:00,16,Pat,Appetizer,Soup of the Day,1,7.0,7.0,Card
ORD-000011,2025-05-01 19:01:00,16,Pat,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000012,2025-05-01 13:06:00,4,Sam,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000012,2025-05-01 13:06:00,4,Sam,Appetizer,Garlic Bread,2,6.0,12.0,Card
ORD-000013,2025-05-01 19:46:00,2,Alex,Dessert,Tiramisu,1,8.0,8.0,Card
ORD-000013,2025-05-01 19:46:00,2,Alex,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000013,2025-05-01 19:46:00,2,Alex,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000013,2025-05-01 19:46:00,2,Alex,Drink,Craft Beer,2,7.0,14.0,Card
ORD-000013,2025-05-01 19:46:00,2,Alex,Appetizer,Caesar Salad,1,9.0,9.0,Card
ORD-000014,2025-05-01 19:07:00,6,Jamie,Appetizer,Garlic Bread,2,6.0,12.0,Mobile
ORD-000014,2025-05-01 19:07:00,6,Jamie,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000014,2025-05-01 19:07:00,6,Jamie,Main,Margherita Pizza,1,16.0,16.0,Mobile
ORD-000015,2025-05-01 21:19:00,5,Casey,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000015,2025-05-01 21:19:00,5,Casey,Appetizer,Soup of the Day,1,7.0,7.0,Card
ORD-000015,2025-05-01 21:19:00,5,Casey,Dessert,Tiramisu,1,8.0,8.0,Card
ORD-000016,2025-05-01 21:13:00,18,Alex,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000016,2025-05-01 21:13:00,18,Alex,Appetizer,Soup of the Day,1,7.0,7.0,Card
ORD-000016,2025-05-01 21:13:00,18,Alex,Dessert,Gelato,1,6.0,6.0,Card
ORD-000017,2025-05-01 11:49:00,18,Alex,Dessert,Tiramisu,1,8.0,8.0,Card
ORD-000017,2025-05-01 11:49:00,18,Alex,Drink,House Wine,2,9.0,18.0,Card
ORD-000017,2025-05-01 11:49:00,18,Alex,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000017,2025-05-01 11:49:00,18,Alex,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000018,2025-05-01 21:07:00,6,Sam,Main,Veggie Bowl,1,13.0,13.0,Mobile
ORD-000018,2025-05-01 21:07:00,6,Sam,Drink,Coffee,1,4.0,4.0,Mobile
ORD-000019,2025-05-01 12:55:00,2,Pat,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000019,2025-05-01 12:55:00,2,Pat,Dessert,Gelato,1,6.0,6.0,Card
ORD-000019,2025-05-01 12:55:00,2,Pat,Drink,House Wine,1,9.0,9.0,Card
ORD-000019,2025-05-01 12:55:00,2,Pat,Appetizer,Garlic Bread,1,6.0,6.0,Card
ORD-000020,2025-05-01 17:35:00,4,Casey,Drink,Coffee,1,4.0,4.0,Mobile
ORD-000020,2025-05-01 17:35:00,4,Casey,Drink,House Wine,1,9.0,9.0,Mobile
ORD-000021,2025-05-01 12:31:00,16,Sam,Main,Margherita Pizza,1,16.0,16.0,Mobile
ORD-000021,2025-05-01 12:31:00,16,Sam,Drink,Craft Beer,2,7.0,14.0,Mobile
ORD-000021,2025-05-01 12:31:00,16,Sam,Main,Grilled Salmon,1,24.0,24.0,Mobile
ORD-000021,2025-05-01 12:31:00,16,Sam,Drink,House Wine,1,9.0,9.0,Mobile
ORD-000021,2025-05-01 12:31:00,16,Sam,Appetizer,Soup of the Day,1,7.0,7.0,Mobile
ORD-000022,2025-05-01 11:11:00,17,Jamie,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000022,2025-05-01 11:11:00,17,Jamie,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000022,2025-05-01 11:11:00,17,Jamie,Appetizer,Caesar Salad,1,9.0,9.0,Card
ORD-000022,2025-05-01 11:11:00,17,Jamie,Appetizer,Garlic Bread,1,6.0,6.0,Card
ORD-000023,2025-05-01 19:49:00,7,Casey,Appetizer,Garlic Bread,1,6.0,6.0,Mobile
ORD-000023,2025-05-01 19:49:00,7,Casey,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000024,2025-05-01 18:16:00,1,Alex,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000024,2025-05-01 18:16:00,1,Alex,Dessert,Gelato,1,6.0,6.0,Card
ORD-000025,2025-05-01 17:14:00,20,Jamie,Drink,Coffee,1,4.0,4.0,Mobile
ORD-000025,2025-05-01 17:14:00,20,Jamie,Main,Spaghetti Carbonara,2,18.0,36.0,Mobile
ORD-000025,2025-05-01 17:14:00,20,Jamie,Main,Grilled Salmon,1,24.0,24.0,Mobile
ORD-000026,2025-05-01 18:15:00,2,Alex,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000026,2025-05-01 18:15:00,2,Alex,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000026,2025-05-01 18:15:00,2,Alex,Drink,House Wine,2,9.0,18.0,Card
ORD-000027,2025-05-01 18:51:00,10,Robin,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000027,2025-05-01 18:51:00,10,Robin,Main,Burger,1,14.0,14.0,Card
ORD-000027,2025-05-01 18:51:00,10,Robin,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000027,2025-05-01 18:51:00,10,Robin,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000027,2025-05-01 18:51:00,10,Robin,Drink,Coffee,1,4.0,4.0,Card
ORD-000028,2025-05-01 19:05:00,11,Casey,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000028,2025-05-01 19:05:00,11,Casey,Drink,Sparkling Water,2,4.0,8.0,Card
ORD-000029,2025-05-01 13:35:00,2,Alex,Drink,House Wine,1,9.0,9.0,Card
ORD-000029,2025-05-01 13:35:00,2,Alex,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000030,2025-05-01 19:29:00,5,Sam,Appetizer,Soup of the Day,1,7.0,7.0,Cash
ORD-000030,2025-05-01 19:29:00,5,Sam,Main,Margherita Pizza,1,16.0,16.0,Cash
ORD-000030,2025-05-01 19:29:00,5,Sam,Drink,Sparkling Water,2,4.0,8.0,Cash
ORD-000030,2025-05-01 19:29:00,5,Sam,Drink,Craft Beer,1,7.0,7.0,Cash
ORD-000031,2025-05-01 19:18:00,7,Alex,Main,Burger,1,14.0,14.0,Card
ORD-000031,2025-05-01 19:18:00,7,Alex,Drink,Craft Beer,2,7.0,14.0,Card
ORD-000031,2025-05-01 19:18:00,7,Alex,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000031,2025-05-01 19:18:00,7,Alex,Dessert,Cheesecake,1,8.0,8.0,Card
ORD-000032,2025-05-01 19:07:00,6,Casey,Drink,House Wine,1,9.0,9.0,Card
ORD-000033,2025-05-01 20:43:00,17,Pat,Main,Spaghetti Carbonara,2,18.0,36.0,Card
ORD-000033,2025-05-01 20:43:00,17,Pat,Drink,Sparkling Water,2,4.0,8.0,Card
ORD-000034,2025-05-01 17:41:00,6,Robin,Appetizer,Soup of the Day,2,7.0,14.0,Card
ORD-000034,2025-05-01 17:41:00,6,Robin,Appetizer,Caesar Salad,1,9.0,9.0,Card
ORD-000034,2025-05-01 17:41:00,6,Robin,Drink,House Wine,1,9.0,9.0,Card
ORD-000035,2025-05-01 18:39:00,19,Alex,Drink,Coffee,1,4.0,4.0,Card
ORD-000035,2025-05-01 18:39:00,19,Alex,Drink,Coffee,1,4.0,4.0,Card
ORD-000035,2025-05-01 18:39:00,19,Alex,Drink,Coffee,1,4.0,4.0,Card
ORD-000035,2025-05-01 18:39:00,19,Alex,Drink,Coffee,1,4.0,4.0,Card
ORD-000036,2025-05-02 13:30:00,11,Robin,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000036,2025-05-02 13:30:00,11,Robin,Main,Burger,1,14.0,14.0,Card
ORD-000037,2025-05-02 20:36:00,11,Alex,Dessert,Cheesecake,1,8.0,8.0,Card
ORD-000037,2025-05-02 20:36:00,11,Alex,Appetizer,Soup of the Day,1,7.0,7.0,Card
ORD-000037,2025-05-02 20:36:00,11,Alex,Dessert,Cheesecake,1,8.0,8.0,Card
ORD-000038,2025-05-02 19:52:00,12,Pat,Drink,House Wine,1,9.0,9.0,Cash
ORD-000038,2025-05-02 19:52:00,12,Pat,Drink,Craft Beer,1,7.0,7.0,Cash
ORD-000038,2025-05-02 19:52:00,12,Pat,Main,Veggie Bowl,1,13.0,13.0,Cash
ORD-000039,2025-05-02 17:07:00,20,Alex,Main,Burger,1,14.0,14.0,Card
ORD-000039,2025-05-02 17:07:00,20,Alex,Main,Burger,1,14.0,14.0,Card
ORD-000039,2025-05-02 17:07:00,20,Alex,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000039,2025-05-02 17:07:00,20,Alex,Appetizer,Garlic Bread,1,6.0,6.0,Card
ORD-000040,2025-05-02 17:13:00,2,Sam,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000040,2025-05-02 17:13:00,2,Sam,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000040,2025-05-02 17:13:00,2,Sam,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000041,2025-05-02 20:48:00,15,Sam,Main,Veggie Bowl,1,13.0,13.0,Cash
ORD-000041,2025-05-02 20:48:00,15,Sam,Main,Grilled Salmon,1,24.0,24.0,Cash
ORD-000041,2025-05-02 20:48:00,15,Sam,Appetizer,Soup of the Day,1,7.0,7.0,Cash
ORD-000042,2025-05-02 21:03:00,2,Jamie,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000042,2025-05-02 21:03:00,2,Jamie,Drink,Sparkling Water,2,4.0,8.0,Card
ORD-000042,2025-05-02 21:03:00,2,Jamie,Main,Burger,1,14.0,14.0,Card
ORD-000043,2025-05-02 11:30:00,8,Sam,Main,Veggie Bowl,1,13.0,13.0,Cash
ORD-000043,2025-05-02 11:30:00,8,Sam,Drink,Coffee,1,4.0,4.0,Cash
ORD-000043,2025-05-02 11:30:00,8,Sam,Appetizer,Garlic Bread,1,6.0,6.0,Cash
ORD-000044,2025-05-02 19:09:00,15,Alex,Drink,House Wine,2,9.0,18.0,Mobile
ORD-000044,2025-05-02 19:09:00,15,Alex,Appetizer,Soup of the Day,1,7.0,7.0,Mobile
ORD-000044,2025-05-02 19:09:00,15,Alex,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000044,2025-05-02 19:09:00,15,Alex,Main,Margherita Pizza,1,16.0,16.0,Mobile
ORD-000044,2025-05-02 19:09:00,15,Alex,Main,Spaghetti Carbonara,2,18.0,36.0,Mobile
ORD-000045,2025-05-02 11:37:00,5,Jamie,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000045,2025-05-02 11:37:00,5,Jamie,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000045,2025-05-02 11:37:00,5,Jamie,Drink,Coffee,1,4.0,4.0,Card
ORD-000045,2025-05-02 11:37:00,5,Jamie,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000046,2025-05-02 17:52:00,7,Casey,Dessert,Gelato,1,6.0,6.0,Card
ORD-000046,2025-05-02 17:52:00,7,Casey,Dessert,Tiramisu,2,8.0,16.0,Card
ORD-000046,2025-05-02 17:52:00,7,Casey,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000047,2025-05-02 19:06:00,1,Pat,Main,Margherita Pizza,1,16.0,16.0,Cash
ORD-000047,2025-05-02 19:06:00,1,Pat,Appetizer,Garlic Bread,2,6.0,12.0,Cash
ORD-000047,2025-05-02 19:06:00,1,Pat,Main,Grilled Salmon,1,24.0,24.0,Cash
ORD-000048,2025-05-02 11:24:00,6,Jamie,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000048,2025-05-02 11:24:00,6,Jamie,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000049,2025-05-02 21:37:00,16,Pat,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000049,2025-05-02 21:37:00,16,Pat,Drink,Craft Beer,2,7.0,14.0,Card
ORD-000049,2025-05-02 21:37:00,16,Pat,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000049,2025-05-02 21:37:00,16,Pat,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000049,2025-05-02 21:37:00,16,Pat,Appetizer,Garlic Bread,1,6.0,6.0,Card
ORD-000050,2025-05-02 21:59:00,18,Pat,Drink,Sparkling Water,1,4.0,4.0,Cash
ORD-000050,2025-05-02 21:59:00,18,Pat,Drink,House Wine,2,9.0,18.0,Cash
ORD-000050,2025-05-02 21:59:00,18,Pat,Drink,House Wine,1,9.0,9.0,Cash
ORD-000050,2025-05-02 21:59:00,18,Pat,Appetizer,Caesar Salad,1,9.0,9.0,Cash
ORD-000051,2025-05-02 20:42:00,14,Robin,Drink,Craft Beer,1,7.0,7.0,Mobile
ORD-000051,2025-05-02 20:42:00,14,Robin,Drink,House Wine,2,9.0,18.0,Mobile
ORD-000052,2025-05-02 13:30:00,6,Robin,Dessert,Cheesecake,1,8.0,8.0,Card
ORD-000052,2025-05-02 13:30:00,6,Robin,Dessert,Gelato,1,6.0,6.0,Card
ORD-000053,2025-05-02 21:17:00,15,Sam,Dessert,Gelato,1,6.0,6.0,Card
ORD-000053,2025-05-02 21:17:00,15,Sam,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000053,2025-05-02 21:17:00,15,Sam,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000054,2025-05-02 21:32:00,3,Alex,Drink,Sparkling Water,1,4.0,4.0,Cash
ORD-000054,2025-05-02 21:32:00,3,Alex,Dessert,Tiramisu,1,8.0,8.0,Cash
ORD-000055,2025-05-02 19:04:00,2,Pat,Drink,House Wine,1,9.0,9.0,Card
ORD-000055,2025-05-02 19:04:00,2,Pat,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000056,2025-05-02 21:58:00,6,Pat,Dessert,Gelato,1,6.0,6.0,Card
ORD-000057,2025-05-02 18:35:00,13,Sam,Main,Margherita Pizza,2,16.0,32.0,Card
ORD-000057,2025-05-02 18:35:00,13,Sam,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000058,2025-05-02 19:47:00,13,Pat,Drink,Craft Beer,2,7.0,14.0,Card
ORD-000058,2025-05-02 19:47:00,13,Pat,Drink,Coffee,1,4.0,4.0,Card
ORD-000058,2025-05-02 19:47:00,13,Pat,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000058,2025-05-02 19:47:00,13,Pat,Dessert,Tiramisu,1,8.0,8.0,Card
ORD-000059,2025-05-02 17:02:00,19,Casey,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000059,2025-05-02 17:02:00,19,Casey,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000060,2025-05-02 13:06:00,13,Pat,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000060,2025-05-02 13:06:00,13,Pat,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000061,2025-05-02 12:51:00,4,Alex,Main,Grilled Salmon,1,24.0,24.0,Card
ORD-000061,2025-05-02 12:51:00,4,Alex,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000062,2025-05-02 19:14:00,19,Pat,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000062,2025-05-02 19:14:00,19,Pat,Main,Veggie Bowl,1,13.0,13.0,Mobile
ORD-000062,2025-05-02 19:14:00,19,Pat,Main,Burger,1,14.0,14.0,Mobile
ORD-000062,2025-05-02 19:14:00,19,Pat,Dessert,Tiramisu,1,8.0,8.0,Mobile
ORD-000063,2025-05-02 13:01:00,4,Alex,Drink,House Wine,1,9.0,9.0,Card
ORD-000063,2025-05-02 13:01:00,4,Alex,Appetizer,Garlic Bread,2,6.0,12.0,Card
ORD-000063,2025-05-02 13:01:00,4,Alex,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000063,2025-05-02 13:01:00,4,Alex,Dessert,Tiramisu,1,8.0,8.0,Card
ORD-000064,2025-05-03 21:59:00,2,Pat,Drink,House Wine,1,9.0,9.0,Mobile
ORD-000064,2025-05-03 21:59:00,2,Pat,Main,Burger,1,14.0,14.0,Mobile
ORD-000064,2025-05-03 21:59:00,2,Pat,Appetizer,Soup of the Day,1,7.0,7.0,Mobile
ORD-000064,2025-05-03 21:59:00,2,Pat,Appetizer,Caesar Salad,1,9.0,9.0,Mobile
ORD-000065,2025-05-03 21:42:00,7,Robin,Drink,House Wine,1,9.0,9.0,Card
ORD-000065,2025-05-03 21:42:00,7,Robin,Drink,House Wine,1,9.0,9.0,Card
ORD-000065,2025-05-03 21:42:00,7,Robin,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000066,2025-05-03 13:33:00,20,Sam,Dessert,Cheesecake,1,8.0,8.0,Card
ORD-000066,2025-05-03 13:33:00,20,Sam,Drink,House Wine,1,9.0,9.0,Card
ORD-000066,2025-05-03 13:33:00,20,Sam,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000067,2025-05-03 21:50:00,4,Alex,Dessert,Gelato,1,6.0,6.0,Card
ORD-000067,2025-05-03 21:50:00,4,Alex,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000067,2025-05-03 21:50:00,4,Alex,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000067,2025-05-03 21:50:00,4,Alex,Drink,Sparkling Water,2,4.0,8.0,Card
ORD-000068,2025-05-03 21:30:00,19,Alex,Main,Veggie Bowl,2,13.0,26.0,Mobile
ORD-000068,2025-05-03 21:30:00,19,Alex,Main,Margherita Pizza,1,16.0,16.0,Mobile
ORD-000068,2025-05-03 21:30:00,19,Alex,Appetizer,Garlic Bread,1,6.0,6.0,Mobile
ORD-000069,2025-05-03 13:55:00,18,Casey,Drink,Coffee,2,4.0,8.0,Card
ORD-000070,2025-05-03 19:31:00,2,Robin,Drink,Craft Beer,2,7.0,14.0,Mobile
ORD-000070,2025-05-03 19:31:00,2,Robin,Dessert,Tiramisu,1,8.0,8.0,Mobile
ORD-000070,2025-05-03 19:31:00,2,Robin,Appetizer,Caesar Salad,1,9.0,9.0,Mobile
ORD-000071,2025-05-03 11:12:00,20,Casey,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000071,2025-05-03 11:12:00,20,Casey,Drink,Sparkling Water,1,4.0,4.0,Mobile
ORD-000071,2025-05-03 11:12:00,20,Casey,Drink,Sparkling Water,2,4.0,8.0,Mobile
ORD-000072,2025-05-03 17:11:00,7,Pat,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000072,2025-05-03 17:11:00,7,Pat,Dessert,Gelato,1,6.0,6.0,Card
ORD-000072,2025-05-03 17:11:00,7,Pat,Appetizer,Garlic Bread,2,6.0,12.0,Card
ORD-000073,2025-05-03 13:28:00,5,Casey,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000073,2025-05-03 13:28:00,5,Casey,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000074,2025-05-03 21:53:00,3,Jamie,Dessert,Tiramisu,2,8.0,16.0,Card
ORD-000074,2025-05-03 21:53:00,3,Jamie,Dessert,Cheesecake,2,8.0,16.0,Card
ORD-000074,2025-05-03 21:53:00,3,Jamie,Appetizer,Soup of the Day,1,7.0,7.0,Card
ORD-000075,2025-05-03 18:33:00,9,Alex,Main,Grilled Salmon,1,24.0,24.0,Mobile
ORD-000075,2025-05-03 18:33:00,9,Alex,Main,Margherita Pizza,2,16.0,32.0,Mobile
ORD-000076,2025-05-03 19:44:00,15,Jamie,Drink,House Wine,1,9.0,9.0,Card
ORD-000076,2025-05-03 19:44:00,15,Jamie,Dessert,Gelato,1,6.0,6.0,Card
ORD-000076,2025-05-03 19:44:00,15,Jamie,Dessert,Gelato,1,6.0,6.0,Card
ORD-000077,2025-05-03 17:37:00,4,Sam,Drink,Craft Beer,2,7.0,14.0,Card
ORD-000077,2025-05-03 17:37:00,4,Sam,Dessert,Gelato,1,6.0,6.0,Card
ORD-000078,2025-05-03 12:19:00,5,Jamie,Drink,House Wine,1,9.0,9.0,Cash
ORD-000078,2025-05-03 12:19:00,5,Jamie,Main,Grilled Salmon,1,24.0,24.0,Cash
ORD-000078,2025-05-03 12:19:00,5,Jamie,Main,Grilled Salmon,1,24.0,24.0,Cash
ORD-000079,2025-05-03 11:57:00,2,Pat,Drink,Coffee,1,4.0,4.0,Cash
ORD-000079,2025-05-03 11:57:00,2,Pat,Appetizer,Caesar Salad,1,9.0,9.0,Cash
ORD-000079,2025-05-03 11:57:00,2,Pat,Dessert,Tiramisu,1,8.0,8.0,Cash
ORD-000080,2025-05-03 18:58:00,9,Sam,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000081,2025-05-03 21:09:00,17,Casey,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000081,2025-05-03 21:09:00,17,Casey,Drink,Coffee,1,4.0,4.0,Card
ORD-000082,2025-05-03 11:55:00,11,Pat,Dessert,Tiramisu,1,8.0,8.0,Card
ORD-000082,2025-05-03 11:55:00,11,Pat,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000082,2025-05-03 11:55:00,11,Pat,Main,Burger,1,14.0,14.0,Card
ORD-000083,2025-05-03 20:38:00,7,Pat,Drink,Sparkling Water,1,4.0,4.0,Card
ORD-000083,2025-05-03 20:38:00,7,Pat,Dessert,Cheesecake,1,8.0,8.0,Card
ORD-000083,2025-05-03 20:38:00,7,Pat,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000084,2025-05-03 13:26:00,6,Casey,Main,Burger,1,14.0,14.0,Mobile
ORD-000084,2025-05-03 13:26:00,6,Casey,Dessert,Cheesecake,1,8.0,8.0,Mobile
ORD-000084,2025-05-03 13:26:00,6,Casey,Drink,Craft Beer,1,7.0,7.0,Mobile
ORD-000084,2025-05-03 13:26:00,6,Casey,Drink,Craft Beer,1,7.0,7.0,Mobile
ORD-000085,2025-05-03 18:25:00,4,Sam,Main,Spaghetti Carbonara,1,18.0,18.0,Card
ORD-000085,2025-05-03 18:25:00,4,Sam,Drink,House Wine,1,9.0,9.0,Card
ORD-000085,2025-05-03 18:25:00,4,Sam,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000086,2025-05-03 11:09:00,16,Casey,Appetizer,Soup of the Day,1,7.0,7.0,Card
ORD-000086,2025-05-03 11:09:00,16,Casey,Appetizer,Caesar Salad,1,9.0,9.0,Card
ORD-000087,2025-05-03 18:44:00,5,Casey,Drink,Sparkling Water,1,4.0,4.0,Mobile
ORD-000087,2025-05-03 18:44:00,5,Casey,Drink,House Wine,2,9.0,18.0,Mobile
ORD-000087,2025-05-03 18:44:00,5,Casey,Main,Spaghetti Carbonara,1,18.0,18.0,Mobile
ORD-000088,2025-05-03 12:24:00,15,Casey,Dessert,Gelato,1,6.0,6.0,Card
ORD-000088,2025-05-03 12:24:00,15,Casey,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000089,2025-05-03 21:20:00,17,Jamie,Drink,Coffee,1,4.0,4.0,Cash
ORD-000089,2025-05-03 21:20:00,17,Jamie,Drink,Coffee,1,4.0,4.0,Cash
ORD-000089,2025-05-03 21:20:00,17,Jamie,Main,Burger,1,14.0,14.0,Cash
ORD-000089,2025-05-03 21:20:00,17,Jamie,Drink,Craft Beer,1,7.0,7.0,Cash
ORD-000090,2025-05-03 12:35:00,8,Pat,Dessert,Cheesecake,1,8.0,8.0,Card
ORD-000090,2025-05-03 12:35:00,8,Pat,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000090,2025-05-03 12:35:00,8,Pat,Drink,House Wine,1,9.0,9.0,Card
ORD-000091,2025-05-03 11:06:00,8,Pat,Main,Veggie Bowl,1,13.0,13.0,Card
ORD-000091,2025-05-03 11:06:00,8,Pat,Dessert,Tiramisu,1,8.0,8.0,Card
ORD-000091,2025-05-03 11:06:00,8,Pat,Appetizer,Soup of the Day,1,7.0,7.0,Card
ORD-000092,2025-05-03 12:53:00,5,Sam,Main,Margherita Pizza,1,16.0,16.0,Card
ORD-000093,2025-05-03 19:17:00,14,Robin,Appetizer,Garlic Bread,1,6.0,6.0,Cash
ORD-000093,2025-05-03 19:17:00,14,Robin,Dessert,Tiramisu,1,8.0,8.0,Cash
ORD-000093,2025-05-03 19:17:00,14,Robin,Main,Spaghetti Carbonara,1,18.0,18.0,Cash
ORD-000093,2025-05-03 19:17:00,14,Robin,Drink,Coffee,1,4.0,4.0,Cash
ORD-000094,2025-05-03 18:54:00,17,Casey,Drink,Craft Beer,1,7.0,7.0,Card
ORD-000094,2025-05-03 18:54:00,17,Casey,Dessert,Tiramisu,2,8.0,16.0,Card
ORD-000094,2025-05-03 18:54:00,17,Casey,Appetizer,Caesar Salad,1,9.0,9.0,Card
ORD-000094,2025-05-03 18:54:00,17,Casey,Main,Spaghetti Carbonara,1,18.0,18.0,Card
